scheme,fold,model,n_test,mae,mean_deviance,spearman,mean_actual,mean_pred,coverage_80,coverage_95
airfoil_10fold,6,confidence_Re,744,0.08107503867292698,1.0261931895346283,0.32959372269201154,0.11600212224921189,0.12827659736298205,0.8387096774193549,0.9623655913978495
airfoil_10fold,6,full,744,0.07729583879779421,0.9550929627535941,0.41391557546409197,0.11600212224921189,0.1269303626236941,0.8131720430107527,0.9690860215053764
airfoil_10fold,6,six_bin_table,744,0.08611199368215915,1.0746559879644124,0.3064873571167993,0.11600212224921189,0.13358610982460065,,
airfoil_10fold,7,constant,704,0.10027337386882836,1.377950814540721,,0.12749053563117807,0.11361220763291648,0.7940340909090909,0.9303977272727273
airfoil_10fold,7,confidence_only,704,0.08881948604039272,1.131110140895666,0.294242036753235,0.12749053563117807,0.11722260689284303,0.8053977272727273,0.9403409090909091
airfoil_10fold,7,confidence_Re,704,0.08552449320067745,1.0423119750371592,0.4021792483718577,0.12749053563117807,0.11741953620228186,0.7997159090909091,0.9545454545454546
airfoil_10fold,7,full,704,0.08103805911868558,0.9474464893760719,0.48954425768535514,0.12749053563117807,0.11777019615209493,0.7769886363636364,0.9446022727272727
airfoil_10fold,7,six_bin_table,704,0.09024940008810661,1.1404488113499536,0.3444670977164416,0.12749053563117807,0.12026225840601375,,
airfoil_10fold,8,constant,851,0.08447121654447326,1.1623576685952612,,0.10614530830861697,0.11580306011060063,0.8307873090481787,0.963572267920094
airfoil_10fold,8,confidence_only,851,0.07666265568841929,1.0330478880660559,0.18624621163074392,0.10614530830861697,0.11109421984875366,0.8225616921269095,0.9600470035252644
airfoil_10fold,8,confidence_Re,851,0.07545467870931746,0.9992116875465819,0.30379390881822355,0.10614530830861697,0.11555068004059676,0.836662749706228,0.972972972972973
airfoil_10fold,8,full,851,0.07154957698033829,0.9183484309776004,0.396371129243144,0.10614530830861697,0.11786470474968813,0.8378378378378378,0.9682726204465335
airfoil_10fold,8,six_bin_table,851,0.0763517694287071,1.0385674508598868,0.24516032025159393,0.10614530830861697,0.1113297842013039,,
airfoil_10fold,9,constant,1199,0.08793966169627856,1.0720182586205877,,0.1272765785832347,0.11266907616419775,0.786488740617181,0.9499582985821518
airfoil_10fold,9,confidence_only,1199,0.08100993242199318,0.9203246553220038,0.257533160137389,0.1272765785832347,0.12132673324564582,0.7973311092577148,0.963302752293578
airfoil_10fold,9,confidence_Re,1199,0.07851267828201304,0.8752999204897811,0.3206137882034896,0.1272765785832347,0.1204086589574392,0.7873227689741451,0.9641367806505421
airfoil_10fold,9,full,1199,0.07797241841643322,0.8708559192231822,0.36451447911000706,0.1272765785832347,0.11938743405157637,0.7506255212677231,0.9366138448707256
airfoil_10fold,9,six_bin_table,1199,0.08148779889751315,0.9321591906110621,0.29252644160142954,0.1272765785832347,0.11988164697561753,,
train_UIUC_test_Princeton,0,constant,4216,0.08468567037908967,1.1367253261559818,,0.10749197163891552,0.12251665265456467,0.8602941176470589,0.9701138519924098
train_UIUC_test_Princeton,0,confidence_only,4216,0.07421996205950009,1.0551221872640364,0.14910512240189513,0.10749197163891552,0.10210823649615346,0.7915085388994307,0.9428368121442126
train_UIUC_test_Princeton,0,confidence_Re,4216,0.07392892651758258,1.0233275420236099,0.22867349413297602,0.10749197163891552,0.10795025786243066,0.8128557874762808,0.9530360531309298
train_UIUC_test_Princeton,0,full,4216,0.07113155740526725,0.9232124446511836,0.357007517297805,0.10749197163891552,0.11041901099477708,0.8052656546489564,0.9535104364326376
train_UIUC_test_Princeton,0,six_bin_table,4216,0.0743454588029472,1.0537028854125632,0.20805143600441828,0.10749197163891552,0.1038419173788293,,
train_Princeton_test_UIUC,0,constant,3995,0.0888660943406448,1.1841046670354123,,0.1225166526545646,0.1074919716389155,0.7969962453066333,0.9346683354192741
train_Princeton_test_UIUC,0,confidence_only,3995,0.0832276980473632,0.9817258516720445,0.2899311390629509,0.1225166526545646,0.12418113131074965,0.835043804755945,0.96270337922403
train_Princeton_test_UIUC,0,confidence_Re,3995,0.07919299757582256,0.928569775391951,0.3599939497696059,0.1225166526545646,0.11731865033193312,0.8155193992490614,0.9634543178973717
train_Princeton_test_UIUC,0,full,3995,0.07711785792521156,0.9021032777941691,0.3981187613142775,0.1225166526545646,0.1160798519761993,0.7712140175219023,0.9429286608260325
train_Princeton_test_UIUC,0,six_bin_table,3995,0.08321141899948759,0.9788436004158688,0.33371304208117497,0.1225166526545646,0.12374553233051983,,
