label,pitch_in,blades,rpm,Re_75,sigma,sigma_over_8,profile_integral,CT_rotor,CP_rotor,CT_over_sigma,FM_measured,cd0_all_profile,cd0_upper_bound,cd0_kappa_typical,solver_profile_share,cd_eff_solver,kappa_solver,cd0_zero_lift_nf,cd0_zero_lift_xf,kappa_implied_nf,kappa_implied_xf,profile_share_implied_nf
DA4002 9x4.76 2b,4.76,2,4936.667,63430.00925867475,0.07668020214992989,0.009585025268741236,0.012523685279439431,0.014481325978919773,0.002076438634761473,0.18885351854713406,0.593442158882815,0.16580092747702901,0.06740766713028787,0.05264867807827671,0.24256701006744805,0.04321913231407421,1.2941329495589002,0.01978314912027995,0.02015229057349358,1.4840221560112707,1.48027046151601,0.11931868790674177
DA4002 9x4.76 2b,4.76,2,5193.333,66728.77706791085,0.07668020214992989,0.009585025268741236,0.012523685279439431,0.014559890716799046,0.0020840354616299393,0.18987809510896494,0.5960971844121656,0.16640752423341176,0.06721246757287577,0.05233320907379539,0.231897098388444,0.04117574893348425,1.2930461305816254,0.01918513126961628,0.019470420765305634,1.4841706625322875,1.4812946170387538,0.11529004687736491
DA4002 9x4.76 2b,4.76,2,5423.333,69684.61171484244,0.07668020214992989,0.009585025268741236,0.012523685279439431,0.014789392635825694,0.002114217449458711,0.19287106999155473,0.6015349391660416,0.16881751675201348,0.06726788208242884,0.05203543688199116,0.2175342882332581,0.03857905144748213,1.2905182867444611,0.018649282133000454,0.01885943674936628,1.47876686221098,1.4766973853778076,0.1104700654991599
DA4002 9x4.76 2b,4.76,2,5670.0,72854.6136339901,0.07668020214992989,0.009585025268741236,0.012523685279439431,0.014923559019067804,0.002129739614627794,0.19462075738778487,0.6052950247211549,0.17005694147586584,0.06712232088122763,0.05168212779203192,0.2038513309540745,0.03609868446414982,1.28805535386426,0.018162747439304006,0.018403736963629548,1.475637576153595,1.4732963859599226,0.10680391686264468
DA4002 9x4.76 2b,4.76,2,5923.333,76110.09713502327,0.07668020214992989,0.009585025268741236,0.012523685279439431,0.014995286431647239,0.0021391021904440663,0.1955561671880771,0.6069957055310319,0.1708045309918403,0.06712691419455119,0.05157527167495784,0.19646633929220492,0.03472344755432234,1.287346870174329,0.017673093562001408,0.01795839081725564,1.476996117004137,1.4742443441136388,0.10346969989247938
DA4002 9x6.75 2b,6.75,2,3280.0,41480.84094410755,0.07650344260111777,0.009562930325139721,0.012744210998496755,0.016882130202127144,0.0034264974291105007,0.22067151004104596,0.45266348218343727,0.26886697258187847,0.1471607125288466,0.12890477352089183,0.4440703034332876,0.10068748912565027,1.3548891725161332,0.026527803719567318,0.02680395846779462,1.9911808049702222,1.9889117783145105,0.09866516316535966
DA4002 9x6.75 2b,6.75,2,3526.667,44661.968496773625,0.07650344260111777,0.009562930325139721,0.012744210998496755,0.017152011042264156,0.0034264974291105007,0.22419920540952953,0.4635612905588068,0.26886697258187847,0.14423065178318356,0.12553520366337934,0.40045908161800864,0.09031498902046921,1.3578569123165023,0.025259828819811998,0.025627109017229064,1.9545437654207243,1.9515969502783688,0.09394916964789933
DA4002 9x6.75 2b,6.75,2,3743.333,47504.40713536441,0.07650344260111777,0.009562930325139721,0.012744210998496755,0.01732694336502983,0.0034154512322044604,0.22648579953938794,0.4721933291544535,0.26800021065308244,0.1414522989707086,0.12247011221835254,0.3699325694217709,0.08310560375881963,1.3578535308665896,0.02412685292112249,0.0245755566054786,1.9271227354906064,1.9235770137288573,0.09002549983945318
DA4002 9x6.75 2b,6.75,2,3940.0,50065.70484307214,0.07650344260111777,0.009562930325139721,0.012744210998496755,0.017407572201112827,0.0033872813768976067,0.22753972382490523,0.47944747472651755,0.26578980662648743,0.13835755503136862,0.1192427172921008,0.34722583878322316,0.0778425645686431,1.3570493306605547,0.023114208474288318,0.02363398041996122,1.9043499201696172,1.9002711101418048,0.08696423977903169
DA4002 9x6.75 2b,6.75,2,4213.333,53561.326299783104,0.07650344260111777,0.009562930325139721,0.012744210998496755,0.017585987689597286,0.003250949132555399,0.22987184748389797,0.5072534099642902,0.2550922244569605,0.12569582374579116,0.1062863636391158,0.3172872400785075,0.07088426295887282,1.3531557181130824,0.02216089371229696,0.02265834188863116,1.8001376349300358,1.7962932607928865,0.08687404627668678
DA4002 9x6.75 2b,6.75,2,4443.333,56491.03438348226,0.07650344260111777,0.009562930325139721,0.012744210998496755,0.017462786828062467,0.003202986463461513,0.22826145117562752,0.5094484294238729,0.2513287377178016,0.12328970701838307,0.1040838524134703,0.29436638992120373,0.065613383788237,1.3491311074954815,0.021361913044881185,0.021840651492973883,1.7960681474759461,1.7923291434747632,0.08499590313013426
DA4002 9x6.75 2b,6.75,2,4676.667,59459.47606469982,0.07650344260111777,0.009562930325139721,0.012744210998496755,0.017818069731378592,0.0032478282739499746,0.23290546314733107,0.517824894378383,0.25484734004585086,0.12288104310399629,0.10308609856271811,0.28713363399046193,0.0637302796992657,1.348261135716093,0.02055236907398516,0.021012150432985825,1.775415211317917,1.7719311296269438,0.0806458057215252
DA4002 9x6.75 2b,6.75,2,4930.0,62681.95759377076,0.07650344260111777,0.009562930325139721,0.012744210998496755,0.017814973584073003,0.0032332916430773415,0.23286499245476716,0.5200174250599472,0.2537066942362085,0.12177479237902401,0.10198500710044635,0.26610543053797797,0.05890184905813579,1.3433574112250852,0.019918759831521506,0.020306916141208477,1.7720348991691264,1.7690928032528017,0.07851097461770776
DA4002 9x6.75 2b,6.75,2,5186.667,65946.82637829347,0.07650344260111777,0.009562930325139721,0.012744210998496755,0.017899214592012522,0.0032451180546347377,0.2339661325482757,0.5218016687480315,0.2546346772677819,0.12176587774833687,0.10183555782042013,0.2609649337036087,0.057508235064474965,1.3424693828540653,0.019326887373037893,0.01963205341045543,1.7709785197563048,1.7686817726003041,0.07590045307424144
