tunnel,airfoil,polar,geom_key,Re,Re_bin,alpha,WT_CL,WT_CD,NF_CL,NF_CD,NF_conf,dCL,err_CD,XF_CL,XF_CD,xf_converged,err_CD_NF_WT,err_CD_XF_WT,err_CD_NF_XF,dCL_NF_WT,dCL_XF_WT,dCL_NF_XF
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,-4.92,-0.051,0.0168,-0.1783080845598104,0.0171004332948797,0.9759373216890112,-0.1273080845598104,0.0178829342190332,-0.1968,0.01759,True,0.01788293421902975,0.047023809523809676,-0.02783210375897116,-0.1273080845598104,-0.1458,0.018491915440189605
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,-3.89,0.043,0.016,-0.0522964904205451,0.0169607817883641,0.9716411912475812,-0.0952964904205452,0.0600488617727617,-0.0599,0.0173,True,0.060048861772756285,0.08124999999999995,-0.01960798911190165,-0.0952964904205451,-0.10289999999999999,0.007603509579454902
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,-2.89,0.137,0.0157,0.0569174783131678,0.0165361910201946,0.9711305478587215,-0.0800825216868321,0.0532605745346898,0.0565,0.01659,True,0.05326057453468809,0.0566878980891721,-0.0032434586983362836,-0.08008252168683222,-0.08050000000000002,0.00041747831316779616
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,-1.86,0.235,0.0149,0.1639359566071486,0.0158874329481388,0.9739943785831076,-0.0710640433928513,0.0662706676603251,0.1695,0.01594,True,0.06627066766032215,0.06979865771812076,-0.003297807519523165,-0.07106404339285138,-0.06549999999999997,-0.005564043392851409
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,-0.85,0.334,0.014,0.2688468630427328,0.0150225253044027,0.977523127240306,-0.0651531369572672,0.0730375217430509,0.2788,0.01527,True,0.07303752174304994,0.09071428571428573,-0.016206594341670023,-0.06515313695726721,-0.05520000000000003,-0.009953136957267184
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,0.19,0.434,0.0132,0.3808787458212209,0.0139638276839225,0.9814616187784536,-0.0531212541787791,0.057865733630499,0.3883,0.01449,True,0.05786573363049244,0.09772727272727269,-0.03631278923930292,-0.05312125417877911,-0.04570000000000002,-0.007421254178779091
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,1.21,0.549,0.013,0.4985372595259391,0.012833749795424,0.9827375244271418,-0.0504627404740609,-0.0127884772750765,0.4948,0.01333,True,-0.01278847727507692,0.02538461538461542,-0.03722807236129035,-0.05046274047406096,-0.054200000000000026,0.003737259525939063
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,2.22,0.648,0.0135,0.6330407826631188,0.0126969061430566,0.984140303629652,-0.0149592173368812,-0.0594884338476588,0.6404,0.01236,True,-0.05948843384765922,-0.08444444444444447,0.027257778564449917,-0.014959217336881214,-0.007600000000000051,-0.007359217336881163
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,3.24,0.746,0.014,0.7417666007916401,0.0133941815652324,0.9866721434021352,-0.0042333992083598,-0.043272745340537,0.7436,0.01317,True,-0.04327274534054283,-0.059285714285714344,0.017022138590159545,-0.004233399208359856,-0.0023999999999999577,-0.0018333992083598982
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,4.27,0.839,0.0162,0.8442209818211095,0.0145929671792298,0.9878681291619174,0.0052209818211095,-0.099199556837664,0.848,0.01449,True,-0.09919955683766665,-0.10555555555555554,0.007106085523105596,0.005220981821109527,0.009000000000000008,-0.003779018178890481
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,5.29,0.93,0.018,0.946573652658672,0.0160261859717273,0.9880492576749884,0.0165736526586719,-0.1096563349040364,0.952,0.01605,True,-0.10965633490403875,-0.10833333333333336,-0.0014837400792957732,0.016573652658671945,0.02199999999999991,-0.005426347341327964
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,6.31,1.016,0.0204,1.0482357111332288,0.0175415894824708,0.987522786952729,0.0322357111332287,-0.1401181626239786,1.0556,0.01779,True,-0.1401181626239805,-0.12794117647058828,-0.013963491710466612,0.03223571113322876,0.03960000000000008,-0.007364288866771318
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,7.33,1.097,0.0216,1.1468476464280462,0.0189767537321396,0.98669216630264,0.0498476464280461,-0.1214465864750146,1.1586,0.01966,True,-0.1214465864750185,-0.08981481481481485,-0.034753116371332604,0.04984764642804618,0.0616000000000001,-0.011752353571953922
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,8.35,1.178,0.0227,1.2381018787186042,0.0201271530495373,0.9862187329960688,0.0601018787186042,-0.1133412753507759,1.2447,0.02063,True,-0.1133412753507798,-0.09118942731277543,-0.024374549222622364,0.060101878718604285,0.06669999999999998,-0.006598121281395697
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,9.34,1.228,0.0256,1.3081401328038973,0.0211645912909294,0.9866193603186572,0.0801401328038973,-0.1732581526980674,1.3136,0.02153,True,-0.1732581526980704,-0.158984375,-0.016972071949400924,0.08014013280389731,0.08560000000000012,-0.005459867196102808
Princeton,WB135/35,WB135/35|155700,WB135/35,155700,150k,10.36,1.211,0.0533,1.3173815219199942,0.0243765926067977,0.9873060469264722,0.1063815219199941,-0.5426530467767776,1.3209,0.02481,True,-0.5426530467767786,-0.5345215759849906,-0.01746906058856499,0.10638152191999417,0.10989999999999989,-0.003518478080005716
