dap_name,chord_in,x,y
E193,11.962,0.00393,0.0083
E193,11.962,0.0,0.0
E193,11.962,0.00019,-0.0018
E193,11.962,0.00203,-0.0071
E193,11.962,0.00456,-0.01003
E193,11.962,0.00985,-0.01329
E193,11.962,0.02631,-0.01865
E193,11.962,0.04653,-0.02292
E193,11.962,0.07208,-0.02609
E193,11.962,0.11861,-0.02836
E193,11.962,0.1713,-0.02823
E193,11.962,0.24998,-0.02677
E193,11.962,0.33658,-0.02493
E193,11.962,0.41345,-0.02258
E193,11.962,0.49857,-0.01992
E193,11.962,0.57412,-0.01772
E193,11.962,0.6545,-0.01572
E193,11.962,0.7189,-0.01389
E193,11.962,0.78023,-0.01202
E193,11.962,0.83702,-0.01017
E193,11.962,0.89421,-0.00805
E193,11.962,0.9481,-0.00549
E193,11.962,0.97647,-0.00358
E193,11.962,0.98762,-0.00276
E193,11.962,1.0,0.0
E193MOD,12.013,1.0,0.0
E193MOD,12.013,0.99907,0.00064
E193MOD,12.013,0.98843,0.00324
E193MOD,12.013,0.97482,0.00632
E193MOD,12.013,0.94788,0.01228
E193MOD,12.013,0.90833,0.02074
E193MOD,12.013,0.86791,0.02918
E193MOD,12.013,0.8073,0.04178
E193MOD,12.013,0.74614,0.05414
E193MOD,12.013,0.68386,0.06618
E193MOD,12.013,0.61843,0.07721
E193MOD,12.013,0.5391,0.08802
E193MOD,12.013,0.45924,0.09504
E193MOD,12.013,0.3671,0.09833
E193MOD,12.013,0.29461,0.09617
E193MOD,12.013,0.22483,0.08943
E193MOD,12.013,0.1604,0.07729
E193MOD,12.013,0.11756,0.06602
E193MOD,12.013,0.07718,0.05206
E193MOD,12.013,0.04951,0.0407
E193MOD,12.013,0.02619,0.02915
E193MOD,12.013,0.01556,0.02133
E193MOD,12.013,0.00687,0.01291
E193MOD,12.013,0.00149,0.00573
E193MOD,12.013,0.0,0.0
E193MOD,12.013,0.00084,-0.00407
E193MOD,12.013,0.00439,-0.00889
E193MOD,12.013,0.01121,-0.01345
E193MOD,12.013,0.02597,-0.01863
E193MOD,12.013,0.061,-0.02433
E193MOD,12.013,0.11235,-0.02792
E193MOD,12.013,0.19187,-0.0284
E193MOD,12.013,0.27519,-0.02613
E193MOD,12.013,0.36103,-0.02234
E193MOD,12.013,0.45198,-0.0173
E193MOD,12.013,0.54395,-0.01267
E193MOD,12.013,0.63667,-0.00873
E193MOD,12.013,0.7079,-0.00605
E193MOD,12.013,0.77809,-0.00424
E193MOD,12.013,0.84996,-0.00253
E193MOD,12.013,0.89347,-0.00139
