volume,file,airfoil_label,asb_name,builder,config,comment,xtr_upper,xtr_lower,Re,alpha,CL,CD,run_file
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,202300,2.67,0.598,0.0122,JG00213.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,202300,4.24,0.763,0.0131,JG00213.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,202300,5.61,0.898,0.0137,JG00213.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,202300,7.25,1.053,0.0148,JG00213.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,202300,8.79,1.145,0.0234,JG00213.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,202300,10.18,1.188,0.0341,JG00213.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,303000,-5.46,-0.231,0.0408,JG00215.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,303000,-3.93,-0.075,0.0161,JG00215.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,303000,-2.24,0.083,0.0114,JG00215.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,303000,-0.24,0.286,0.0081,JG00215.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,303000,1.05,0.427,0.0088,JG00215.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,303000,2.53,0.586,0.0094,JG00215.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,303000,4.08,0.751,0.0105,JG00215.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,303000,5.94,0.939,0.0114,JG00215.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,303000,6.95,1.024,0.0127,JG00215.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,303000,8.46,1.119,0.0192,JG00215.DAT
vol1,E387A.DRG,E387 (A),e387,B. Champine,clean,clean,,,303000,9.93,1.177,0.0291,JG00215.DAT
vol1,FX63137B.DRG,FX 63-137 (B),fx63137,M. Allen,clean,clean,,,100800,-5.05,-0.019,0.0476,JG00159.DAT
