R,v_tip,c_over_R,rpm,dP_pct_at_11p7,solidity,thrust_N,aircraft_kg,power_W,induced_frac,FM,CT_sigma,tip_mach,Re_75,Re_min,Re_max,all_inside_envelope,alpha_min,alpha_max
0.5,85,0.16,1623,2.405765567743768,0.07052686044878856,38.51,15.707708544712007,239.7133170596041,0.7772281547088111,0.718687561246467,0.07855161931553156,0.24977960622979722,276131.6533374665,77622.53852930716,323662.0290084991,True,-2.0058285936910054,13.549011457116357
0.5,85,0.2,1623,2.797019493429992,0.0881585755609857,38.51,15.707708544712007,250.2347829474046,0.7417489357210748,0.6884693453092545,0.0628412949547731,0.24977960622979722,345160.61699406756,97028.17316163395,404462.14895403164,True,-2.4847589016236284,12.776829098181768
0.5,100,0.12,1910,2.9386217599232354,0.0528951453365914,38.51,15.707708544712007,255.97926953808746,0.7287576912001649,0.6730192637146737,0.07567139335445257,0.29385836027034967,243431.19307311834,70496.23663967509,285397.46051720844,True,-2.1691053806174114,2.1459399005815687
0.5,100,0.16,1910,3.5064629817989594,0.07052686044878856,38.51,15.707708544712007,277.1947635985369,0.6778556575873343,0.6215087767236884,0.05675354478031916,0.29385836027034967,324563.0448438221,94045.3016863444,380432.3230437481,True,-2.734780242477828,0.9749148012399483
0.5,100,0.2,1910,4.0347655334298675,0.0881585755609857,38.51,15.707708544712007,300.1661549637543,0.6310890399539876,0.5739454164558013,0.045402837647665555,0.29385836027034967,405700.0061483167,117503.99851348487,475459.66339376435,True,-3.0220636963959637,0.1978495471733243
0.5,115,0.12,2196,4.019154106555012,0.0528951453365914,38.51,15.707708544712007,296.16741650264663,0.6321843263876921,0.5816945802323056,0.05721844521488961,0.3379371143109021,279782.40510663384,80745.44873643803,328027.6917617999,True,-2.824768596807713,1.2989944791511836
0.5,115,0.16,2196,4.7053389015314115,0.07052686044878856,38.51,15.707708544712007,332.64661278807023,0.5720344237878422,0.517903888031309,0.04291383276240635,0.3379371143109021,373037.1986497781,107708.95595245923,437297.01142567984,True,-3.1822041501947447,0.3067877498151399
0.5,115,0.2,2196,5.25196891195592,0.0881585755609857,38.51,15.707708544712007,367.9220867860684,0.5247852544993644,0.46824854350266254,0.03433106716069081,0.3379371143109021,466302.96837184863,134582.45714111056,546565.3371284956,False,-3.341976359725098,-0.32915270720413875
0.6,70,0.12,1114,1.44466943066645,0.05289514533659141,55.45439999999999,22.619100304385288,320.1705523988819,0.8656077291767055,0.7748424622928061,0.154431418610854,0.20570085218924478,204968.92496153587,57531.99914592287,240556.60424209008,False,0.8434057692773993,18.474185267886295
0.6,70,0.16,1114,1.5173224228662399,0.07052686044878854,55.45439999999999,22.619100304385288,319.0476148868611,0.8588933385213902,0.7775696212233121,0.11582356205495846,0.20570085218924478,273296.9272729696,76709.33219456383,320510.9560061587,True,-0.6542316727196668,16.52127381872442
0.6,70,0.2,1114,1.6690906644350927,0.08815857556098568,55.45439999999999,22.619100304385288,321.5821573763361,0.8448756395082407,0.7714412238110993,0.09265884963959345,0.20570085218924478,341633.61293277494,95886.66524320477,400430.0691468589,True,-1.45664028390951,15.36188093545844
0.6,85,0.12,1353,1.966458673464724,0.05289514533659141,55.45439999999999,22.619100304385288,329.98417638140285,0.8172843932449927,0.7517988768260574,0.10473549328597245,0.24977960622979728,248504.91231546886,69860.28467637644,291402.7674987164,True,-1.0479623061907444,14.849937955194846
0.6,85,0.16,1353,2.2698451030976208,0.07052686044878854,55.45439999999999,22.619100304385288,339.72994239431404,0.7895059972621166,0.7302321698936138,0.07855161993039286,0.24977960622979728,331360.05693561357,93147.0462351686,388393.02808955853,True,-1.9892807171024274,13.561997842220311
0.6,85,0.2,1353,2.6738354248667933,0.08815857556098568,55.45439999999999,22.619100304385288,354.8665256020221,0.7528179857219246,0.6990846096559554,0.06284129484968612,0.24977960622979728,414184.3071565288,116433.80779396075,485353.24587482377,True,-2.470769023424773,12.78785795603982
